id_edan,ObjectID,GlobalID,fecha_inspeccion,hora,nombre_evaluador,id_grupo,entidad,tipo_evento,nombre_edificacion,municipio,barrio_vereda,direccion,direccion_norm,coords,tipo_propiedad,relacion_edificacion,otro,epoca_construccion,n_pisos,n_sotanos,n_ocupantes,frente,fondo,n_residenciales,n_comerciales,n_no_habitadas,n_muertos,n_heridos,acceso_edificacion,uso_edificacion,uso_cual,sistema_estructural,sistema_estructural_cual,material_estructura,material_entrepiso,sistema_entrepiso,sistema_entrepiso_cual,existen_sistemas_combinados,observaciones,sistema_cubierta,sistema_cubierta_cual,revestimiento_cubierta,revestimiento_cubierta_cual,sistema_muros_divisorios,sistema_muros_divisorios_cual,fachadas,fachadas_cual,escaleras,escaleras_cual,calidad_construccion,estado_edificacion,41_a,41_b,41_c,42_a,42_b,42_c,43_a,43_b,43_c,44_a,44_b,44_c,45_a,45_b,45_c,46_a,46_b,46_c,46_especifique_cual,colapso_total,colapso_parcial,asentamiento_severo,inclinacion_importante,suelo_inestable,riesgo_caida,danos_estructura,danos_contrapiso_entrepiso_muroscont,danos_muro_div,danos_cubierta,cielos_instalaciones,alc_exterior,alc_interior,matriz_ref,afectacion_planta,afectacion_planta_calc,severidad_danos,severidad_danos_calc,nivel_dano,riesgo_ab,riesgo_ac,habitabilidad_calc,criterio_habitabilidad,justificacion_criterio,requiere_evaluacion_adicional,eval_estructural,eval_geotecnica,eval_otra,recomendaciones,aislamiento,intervencion_entades,observaciones_generales,evento_id,gps_precision_m,CreationDate,Creator,EditDate,Editor,x,y,fecha_hora,comuna,barrio_geo,x_form,y_form,n_fotos_gps,gps_error_m,desplazamiento_m,coords_fuente,coords_validacion,geocode_lat,geocode_lon,dist_geocode_m,suspension_servicios,criterio_color,fuente
,,,2026-08-17,21:04,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,,2,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,leve,,moderado,,,parcial,completa,,,,bajo,,bajo,,,,h,,,,,,,,,,,,,Engineer_ISR_1,,,-76.55848803536715,3.38714610449503,2026-08-17 21:04,COMUNA 18,Mario Correa Rengifo,-76.55848803536715,3.38714610449503,,,,,,,,,no,verde,survey_israel
,,,2026-08-17,22:56,חנן אלכסנדר,,Inspectores de Israel,sismo,,Cali,,,,,,,,,10.0,1.0,,,,,,,,,,,10,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,moderado,,moderado,,,completa,completa,,,,medio,,medio,,,,r1,,estructural,,,,,,,"בית החולים מורכב ממבנה 10 קומות ועוד מבנה היקפי בן 3 קומות. שלד המבנים תקין ללא סדקים פרט לעמוד פנימי שנגזר. להערכתי העמוד אינו לקח חלק במערכת ההקשחה ברעידת האדמה בגלל חוסר בפרטי זיון. וגם בגלל שלא נצפו כלל נזקים נוספים במערכת ההקשחה.המלצתי לתמוך את העמוד לעומס אנכי עם רגלי מסקו. פרט לנזק זה,  נצפו המון נזקים קלים לבלוקים. יש לציין שהמבנה בן 10 קומות חוזק לרעידות אדמה בעזרת מסגרות ואלכסוני פלדה.",,,,Engineer_ISR_2,,,-76.52468366226786,3.4668052988122477,2026-08-17 22:56,COMUNA 02,San Vicente,-76.52468366226786,3.4668052988122477,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-18,14:39,איתי יאמין,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,,2,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,leve,,leve,,,completa,completa,,,,bajo,,bajo,,,,h,,otra,,,גבי בן דוד,,,,,,,,Engineer_ISR_2,,,-76.53349606693311,3.4124179330272613,2026-08-18 14:39,COMUNA 10,Panamericano,-76.53349606693311,3.4124179330272613,,,,,,,,,no,verde,survey_israel
,,,2026-08-18,14:45,רענן בן סיני,,Inspectores de Israel,sismo,,Cali,,,,,,,,,1.0,,,,,,,,,,,,10,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,si,no,no,no,no,sin_dano,,sin_dano,,,completa,completa,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,"המבנה המרפאה לא נפגע כלל, קטע קטן של קיר הפיתוח קיבל סדקי כפיפה כלפי חוץ המגרש, מדובר בקיר בני ולא נושא",,,,Engineer_ISR_2,,,-76.50038848016877,3.44594792301032,2026-08-18 14:45,COMUNA 08,Villa Colombia,-76.50038848016877,3.44594792301032,,,,,,,,,no,verde,survey_israel
,,,2026-08-18,15:31,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,6.0,1.0,,,,,,,,,,,2,otro,,mat_no_claro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,si,no,si,severo,,severo,,,completa,completa,,,,alto,,alto,,,,i2,,estructural,,,,,,,יש לסגור הגישה למבנה עד לתיקון קומת הגג מחשש לנפילה על עוברי אורח. יש לסגור המדרכה ואם ניתן אף את הכביש,,,,Engineer_ISR_1,,,-76.54072997354068,3.4195469761925876,2026-08-18 15:31,COMUNA 19,Los Cámbulos,-76.54072997354068,3.4195469761925876,,,,,,,,,no,rojo,survey_israel
,,,2026-08-18,15:36,רענן בן סיני,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,,10,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,completa,completa,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,"לא נצפה נזק מבני, נדרש תיקונים קלים. מבנה תקין",,,,Engineer_ISR_2,,,-76.52564180175663,3.423425251916963,2026-08-18 15:36,COMUNA 10,Cristóbal Colón,-76.52564180175663,3.423425251916963,,,,,,,,,no,verde,survey_israel
,,,2026-08-18,15:48,איתמר נצר,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,,2,otro,מבנה שלוד על עמודי בטון וקירות בני נושאים,mat_no_claro,,,,,תחנת כיבוי אש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,si,no,si,moderado,,leve,,,completa,completa,,,,medio,,medio,,,,r2,,"estructural,otra",,,לא,תמיכת קירות,,,,,,,Engineer_ISR_1,,,-76.53702083,3.4360405,2026-08-18 15:48,COMUNA 19,El Cedro,-76.53702083,3.4360405,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-18,17:18,איתמר נצר,,Inspectores de Israel,sismo,,Cali,,,,,,,,,3.0,1.0,,,,,,,,,,,2,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,completa,completa,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Engineer_ISR_1,,,-76.52749456625035,3.459972366637784,2026-08-18 17:18,COMUNA 02,Versalles,-76.52749456625035,3.459972366637784,,,,,,,,,no,verde,survey_israel
,,,2026-08-18,16:32,רענן בן סיני,,Inspectores de Israel,sismo,,Cali,,,,,,,,,1.0,,,,,,,,,,,,10,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,leve,,moderado,,,completa,completa,,,,bajo,,bajo,,,,h,,,,,,,,,"סדקים בקירות בני, מערכת נושאת לא נפגעה. אין חשש לשימוש במבנה",,,,Engineer_ISR_2,,,-76.51452353314815,3.4022383002781384,2026-08-18 16:32,COMUNA 16,Mariano Ramos,-76.51452353314815,3.4022383002781384,,,,,,,,,no,verde,survey_israel
,,,2026-08-18,16:22,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,,2,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,completa,completa,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,"רצפה צפה על קורות  פלדה, שבר בריצוף. כמו כן מספר קורות עץ התומכות את גג האיסכורית התנתקו מהקיר ויש לתמוך זמנית ולבצע תיקון מקומי",,,,Engineer_ISR_1,,,-76.5405315285079,3.426548363731749,2026-08-18 16:22,COMUNA 19,San Fernando Nuevo,-76.5405315285079,3.426548363731749,,,,,,,,,no,verde,survey_israel
,,,2026-08-18,18:58,רענן בן סיני,,Inspectores de Israel,sismo,,Cali,,,,,,,,,10.0,2.0,,,,,,,,,,,10,porticos,,concreto_mc,,,,,סקר ראשוני,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,leve,,moderado,,,completa,completa,,,,bajo,,bajo,,,,r1,,,,,,,,,"יש לבצע פירוק מבוקר של קטעי החזיתות אשר נפגעו והשלמת בניה מחדש.
עד ההשלמה האזור מוגבל בשימוש.
שאר המבנה תקין לחלוטין",,,,Engineer_ISR_2,,,-76.52700689873038,3.462461191344917,2026-08-18 18:58,COMUNA 02,San Vicente,-76.52700689873038,3.462461191344917,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-18,17:56,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,5.0,,,,,,,,,,,,10,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,leve,,severo,,,completa,completa,,,,bajo,,bajo,,,,h,,,,,,,,,יש לתקן קירות בלוקים במבנה,,,,Engineer_ISR_1,,,-76.54538005320158,3.4199410836318322,2026-08-18 17:56,COMUNA 19,Urbanización Tequendama,-76.54538005320158,3.4199410836318322,,,,,,,,,no,verde,survey_israel
,,,2026-08-18,18:19,שי חביב,,Inspectores de Israel,sismo,,Cali,,,,,,,,,3.0,1.0,,,,,,,,,,,2,porticos,,concreto_mc,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,si,no,si,leve,,moderado,,,completa,completa,,,,bajo,,bajo,,,,r1,,estructural,,,,"טיפול באריחים חיצוניים
פירוק קיר בלוקים נוטה בגג","קומת משרדים מתחת לקיר הגג
נפילת אריחים בקיר חיצוני",,מבנה בן 3 קומות ללא נזקים בשלד. קירות בלוקים נסדקו קלות. יש קיר במעקה הגג שנוטה הצידה בסכנת נפילה. הוגדר אזור אדום וניתנה המלצה על אופן ההריסה כך שהקיר לא יתמוטט למטה תוך כדי ההריסה. יש לבדוק אריחים וקירות בלוקים בסכנת התמוטטות בקירות החזית החיצוניים,,,,Engineer_ISR_2,,,-76.52308781864035,3.4664683556559766,2026-08-18 18:19,COMUNA 02,San Vicente,-76.52308781864035,3.4664683556559766,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-18,18:29,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,1.0,,,,,,,,,,,,10,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,sin_dano,,sin_dano,,,completa,completa,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Engineer_ISR_1,,,-76.54485934474715,3.4219608910182395,2026-08-18 18:29,COMUNA 19,Urbanización Tequendama,-76.54485934474715,3.4219608910182395,,,,,,,,,no,verde,survey_israel
,,,2026-08-18,18:35,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,,1.0,,,,,,,,,,,10,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,sin_dano,,sin_dano,,,parcial,no_ingreso,,,,sin_dano,,sin_dano,,,,r1,,estructural,,,,,,,"בוצע סקר חיצוני בלבד, לא נכנסנו לפנים הבניין, לא ידוע מצבו מלבד  מעקה גג שקרס",,,,Engineer_ISR_1,,,-76.54521693082408,3.422020753823482,2026-08-18 18:35,COMUNA 19,Urbanización Tequendama,-76.54521693082408,3.422020753823482,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-18,18:48,גבי בן דוד,,Inspectores de Israel,sismo,,Cali,,,,,,,,,6.0,1.0,,,,,,,,,,,10,porticos,,concreto_mc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,si,leve,,severo,,,parcial,completa,,,,bajo,,bajo,,,,r2,,otra,,,יש לבצע סקר חוזר לבדיקת חיבורי תקרה קורה בחלקים נרחבים של המבנה. חלק מהמבנה אין גישה ותקרות חוסמות את העמודים/קורות,,,,יש לבצע סקר חוזר מעמיק יותר בכל חלקי המבנה. יש לפרק תקרות ולחשוף החיבורים ,,,,Engineer_ISR_1,,,-76.5467761339678,3.421650957153404,2026-08-18 18:48,COMUNA 19,Urbanización Tequendama,-76.5467761339678,3.421650957153404,,,,,,,,,no,amarillo,survey_israel
,,,2026-08-18,18:56,איתמר נצר,,Inspectores de Israel,sismo,,Cali,,,,,,,,,2.0,,,,,,,,,,,,2,otro,,mat_no_claro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,no,no,no,no,no,sin_dano,,sin_dano,,,completa,completa,,,,sin_dano,,sin_dano,,,,h,,,,,,,,,,,,,Engineer_ISR_1,,,-76.52560231,3.46594585,2026-08-18 18:56,COMUNA 02,San Vicente,-76.52560231,3.46594585,,,,,,,,,no,verde,survey_israel
